id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
32365,68,BlockedShot,0.8832000350952148,0.3048800056457519,0.0262281000614166,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5827,Sevilla,Valencia,1,1,2014-08-23 20:00:00,Sofiane Feghouli,Pass
32369,83,BlockedShot,1.0407499999999998,0.3344800056457519,0.0753159001469612,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5827,Sevilla,Valencia,1,1,2014-08-23 20:00:00,Sofiane Feghouli,Foul
32819,8,BlockedShot,0.9234500350952148,0.24863998870849607,0.0222903992980718,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5792,Valencia,Espanyol,3,1,2014-09-14 16:00:00,Pablo Piatti,Cross
32826,44,BlockedShot,1.0097000350952148,0.2331,0.0312783010303974,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5792,Valencia,Espanyol,3,1,2014-09-14 16:00:00,Pablo Piatti,Cross
32830,58,SavedShot,0.9878500175476074,0.31079999999999997,0.0981630012392997,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5792,Valencia,Espanyol,3,1,2014-09-14 16:00:00,Paco Alcácer,Pass
33132,28,BlockedShot,1.0338500175476073,0.5535200225830078,0.0324072018265724,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5805,Getafe,Valencia,0,3,2014-09-22 19:45:00,Pablo Piatti,Cross
33138,71,Goal,1.01775,0.37,0.743149995803833,Rodrigo,a,2381,Penalty,2014,LeftFoot,5805,Getafe,Valencia,0,3,2014-09-22 19:45:00,,Standard
34947,26,MissedShots,0.9027499999999999,0.2368,0.0244772993028163,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5770,Deportivo La Coruna,Valencia,3,0,2014-10-19 16:00:00,Javi Fuego,Pass
34949,30,BlockedShot,0.8257000350952147,0.3448399887084961,0.0514746010303497,Rodrigo,a,2381,DirectFreekick,2014,LeftFoot,5770,Deportivo La Coruna,Valencia,3,0,2014-10-19 16:00:00,,Standard
34955,64,MissedShots,1.0476499824523924,0.4795200225830078,0.0753280967473983,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5770,Deportivo La Coruna,Valencia,3,0,2014-10-19 16:00:00,Carles Gil,Pass
35665,29,MissedShots,1.0212000350952148,0.2183,0.0550458990037441,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5777,Valencia,Elche,3,1,2014-10-25 19:00:00,André Gomes,TakeOn
35675,67,MissedShots,0.9809500350952147,0.27601999435424807,0.1093079969286918,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5777,Valencia,Elche,3,1,2014-10-25 19:00:00,Paco Alcácer,Pass
33753,0,SavedShot,1.0902000350952146,0.45066001129150396,0.082684502005577,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5721,Villarreal,Valencia,1,3,2014-11-02 16:00:00,,None
33760,25,MissedShots,0.8693999824523925,0.117659997177124,0.0124724004417657,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5721,Villarreal,Valencia,1,3,2014-11-02 16:00:00,Pablo Piatti,Pass
34475,16,MissedShots,0.9912999649047851,0.24716001129150392,0.0537993013858795,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5733,Valencia,Athletic Club,0,0,2014-11-09 18:00:00,Sofiane Feghouli,Pass
34483,61,MissedShots,1.0430499649047853,0.38480000000000003,0.117537997663021,Rodrigo,h,2381,OpenPlay,2014,Head,5733,Valencia,Athletic Club,0,0,2014-11-09 18:00:00,Pablo Piatti,Cross
35290,27,SavedShot,0.9234500350952148,0.20128000564575194,0.0234814006835222,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5741,Levante,Valencia,2,1,2014-11-23 16:00:00,Shkodran Mustafi,Pass
35301,62,SavedShot,1.0683500175476075,0.5002399887084961,0.0928345024585723,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5741,Levante,Valencia,2,1,2014-11-23 16:00:00,André Gomes,Throughball
33504,10,SavedShot,0.9993500175476074,0.5372399887084961,0.0398930981755256,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5753,Valencia,Barcelona,0,1,2014-11-30 20:00:00,Álvaro Negredo,TakeOn
33515,59,MissedShots,1.1086000175476074,0.4787799774169922,0.0558738000690937,Rodrigo,h,2381,FromCorner,2014,LeftFoot,5753,Valencia,Barcelona,0,1,2014-11-30 20:00:00,Shkodran Mustafi,HeadPass
35058,80,SavedShot,1.0027999649047852,0.3885,0.5387830138206482,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5699,Valencia,Rayo Vallecano,3,0,2014-12-13 17:00:00,Álvaro Negredo,Throughball
37690,42,Goal,0.9073500175476074,0.333,0.0374552011489868,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5655,Celta Vigo,Valencia,1,1,2015-01-10 19:00:00,,TakeOn
37978,17,SavedShot,1.0212000350952148,0.3922,0.0839278027415275,Rodrigo,h,2381,OpenPlay,2014,Head,5664,Valencia,Almeria,3,2,2015-01-17 17:00:00,José Gayá,Cross
37981,27,Goal,1.0959500350952145,0.3692600112915039,0.6674839854240417,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5664,Valencia,Almeria,3,2,2015-01-17 17:00:00,Paco Alcácer,Pass
37994,73,MissedShots,1.049950035095215,0.3219,0.0499291010200977,Rodrigo,h,2381,OpenPlay,2014,Head,5664,Valencia,Almeria,3,2,2015-01-17 17:00:00,José Gayá,Aerial
37995,81,ShotOnPost,1.0108500175476074,0.3219,0.0794567018747329,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5664,Valencia,Almeria,3,2,2015-01-17 17:00:00,Paco Alcácer,HeadPass
38379,3,MissedShots,1.1155,0.3633399887084961,0.6811220049858093,Rodrigo,h,2381,OpenPlay,2014,OtherBodyPart,5680,Valencia,Sevilla,3,1,2015-01-25 20:00:00,Álvaro Negredo,Chipped
38394,56,BlockedShot,1.05225,0.49136001129150386,0.1467420011758804,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5680,Valencia,Sevilla,3,1,2015-01-25 20:00:00,André Gomes,Throughball
38399,71,SavedShot,0.9303500175476074,0.4484399887084961,0.0606944002211093,Rodrigo,h,2381,OpenPlay,2014,RightFoot,5680,Valencia,Sevilla,3,1,2015-01-25 20:00:00,André Gomes,Pass
38400,87,BlockedShot,1.0372999649047852,0.27601999435424807,0.1225740015506744,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5680,Valencia,Sevilla,3,1,2015-01-25 20:00:00,Paco Alcácer,TakeOn
37454,28,SavedShot,0.8429500350952148,0.4107,0.020346900448203,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5606,Malaga,Valencia,1,0,2015-02-02 19:45:00,Enzo Pérez,Pass
41036,17,ShotOnPost,0.979799964904785,0.23088000564575192,0.041186798363924,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5615,Espanyol,Valencia,1,2,2015-02-08 18:00:00,Enzo Pérez,TakeOn
41042,51,MissedShots,0.9809500350952147,0.40700000000000003,0.0263829994946718,Rodrigo,a,2381,SetPiece,2014,LeftFoot,5615,Espanyol,Valencia,1,2,2015-02-08 18:00:00,José Gayá,Cross
40754,76,MissedShots,1.0430499649047853,0.41661999435424807,0.43435800075531,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5623,Valencia,Getafe,1,0,2015-02-15 11:00:00,Sofiane Feghouli,Pass
40755,78,MissedShots,1.0568500175476074,0.333,0.3521179854869842,Rodrigo,h,2381,OpenPlay,2014,Head,5623,Valencia,Getafe,1,0,2015-02-15 11:00:00,Pablo Piatti,Cross
41258,18,SavedShot,1.035,0.40403998870849606,0.0402493998408317,Rodrigo,a,2381,OpenPlay,2014,Head,5630,Cordoba,Valencia,1,2,2015-02-21 17:00:00,Javi Fuego,Aerial
41263,36,MissedShots,0.9211499824523925,0.20498000564575192,0.0238108001649379,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5630,Cordoba,Valencia,1,2,2015-02-21 17:00:00,André Gomes,Pass
41267,61,SavedShot,0.974049964904785,0.22569999999999998,0.0383608005940914,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5630,Cordoba,Valencia,1,2,2015-02-21 17:00:00,André Gomes,Pass
39704,75,MissedShots,1.02925,0.3455800056457519,0.1294530034065246,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5566,Valencia,Real Sociedad,2,0,2015-03-01 11:00:00,Álvaro Negredo,Cross
39706,92,MissedShots,0.8532999649047851,0.3603800056457519,0.0244296006858348,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5566,Valencia,Real Sociedad,2,0,2015-03-01 11:00:00,,BallRecovery
40344,4,SavedShot,0.92575,0.2368,0.0280383992940187,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5581,Valencia,Deportivo La Coruna,2,0,2015-03-13 19:45:00,Pablo Piatti,Pass
40132,69,SavedShot,0.956799964904785,0.209419994354248,0.0279435999691486,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5511,Valencia,Villarreal,0,0,2015-04-05 16:00:00,Daniel Parejo,Pass
40140,93,MissedShots,0.9809500350952147,0.32116001129150384,0.0294679999351501,Rodrigo,h,2381,OpenPlay,2014,Head,5511,Valencia,Villarreal,0,0,2015-04-05 16:00:00,Nicolás Otamendi,Chipped
38886,72,MissedShots,1.0706499824523923,0.40551999435424807,0.4207479953765869,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5522,Athletic Club,Valencia,1,1,2015-04-09 19:00:00,Álvaro Negredo,Cross
38887,79,SavedShot,1.0878999824523923,0.5083799774169923,0.1948619931936264,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5522,Athletic Club,Valencia,1,1,2015-04-09 19:00:00,Rodrigo de Paul,Pass
38888,81,SavedShot,1.094799964904785,0.44548000564575196,0.0703011006116867,Rodrigo,a,2381,SetPiece,2014,LeftFoot,5522,Athletic Club,Valencia,1,1,2015-04-09 19:00:00,Rodrigo de Paul,Cross
39140,28,MissedShots,0.8797499999999999,0.5335399887084961,0.0248537007719278,Rodrigo,h,2381,OpenPlay,2014,RightFoot,5534,Valencia,Levante,3,0,2015-04-13 19:30:00,Daniel Parejo,Pass
39141,29,MissedShots,1.014299964904785,0.5365,0.0444759987294673,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5534,Valencia,Levante,3,0,2015-04-13 19:30:00,Paco Alcácer,Pass
39406,2,MissedShots,0.9889999999999999,0.42698000564575195,0.0704198032617569,Rodrigo,a,2381,OpenPlay,2014,RightFoot,5536,Barcelona,Valencia,2,0,2015-04-18 15:00:00,Paco Alcácer,Pass
39423,74,SavedShot,0.9958999824523925,0.34188000564575194,0.0784918963909149,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5536,Barcelona,Valencia,2,0,2015-04-18 15:00:00,,Rebound
36259,16,MissedShots,1.0281000175476074,0.43438000564575197,0.0556090995669364,Rodrigo,h,2381,SetPiece,2014,Head,5554,Valencia,Granada,4,0,2015-04-27 19:45:00,Daniel Parejo,Cross
36270,60,SavedShot,1.0660499649047852,0.5350200225830078,0.0815787985920906,Rodrigo,h,2381,OpenPlay,2014,LeftFoot,5554,Valencia,Granada,4,0,2015-04-27 19:45:00,Sofiane Feghouli,Chipped
36764,3,MissedShots,0.9682999649047851,0.24863998870849607,0.0461492016911506,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5563,Rayo Vallecano,Valencia,1,1,2015-04-30 19:00:00,André Gomes,Chipped
36769,15,SavedShot,1.012,0.3367,0.1345569938421249,Rodrigo,a,2381,OpenPlay,2014,LeftFoot,5563,Rayo Vallecano,Valencia,1,1,2015-04-30 19:00:00,Daniel Parejo,TakeOn
