id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
32626,60,Goal,1.06375,0.333,0.0653000995516777,Cristhian Stuani,h,1709,OpenPlay,2014,Head,5841,Espanyol,Sevilla,1,2,2014-08-30 22:00:00,Víctor Sánchez,Aerial
32825,31,MissedShots,1.0568500175476074,0.3433600112915039,0.101623997092247,Cristhian Stuani,a,1709,FromCorner,2014,Head,5792,Valencia,Espanyol,3,1,2014-09-14 16:00:00,Salva Sevilla,Cross
33056,62,BlockedShot,1.0878999824523923,0.3433600112915039,0.1333300024271011,Cristhian Stuani,h,1709,FromCorner,2014,Head,5800,Espanyol,Malaga,2,2,2014-09-20 21:00:00,Lucas Vázquez,Cross
33060,78,SavedShot,0.9982000350952148,0.34113998870849604,0.1245990023016929,Cristhian Stuani,h,1709,OpenPlay,2014,RightFoot,5800,Espanyol,Malaga,2,2,2014-09-20 21:00:00,Salva Sevilla,Pass
33065,87,Goal,1.07525,0.3603800056457519,0.1431639939546585,Cristhian Stuani,h,1709,SetPiece,2014,Head,5800,Espanyol,Malaga,2,2,2014-09-20 21:00:00,Lucas Vázquez,Cross
33784,75,BlockedShot,1.0430499649047853,0.34113998870849604,0.0277188997715711,Cristhian Stuani,h,1709,FromCorner,2014,Head,5814,Espanyol,Getafe,2,0,2014-09-25 19:00:00,Lucas Vázquez,Aerial
33787,81,Goal,1.0706499824523923,0.3566800056457519,0.5935649871826172,Cristhian Stuani,h,1709,OpenPlay,2014,RightFoot,5814,Espanyol,Getafe,2,0,2014-09-25 19:00:00,,None
33786,81,BlockedShot,1.0706499824523923,0.3566800056457519,0.549390971660614,Cristhian Stuani,h,1709,OpenPlay,2014,RightFoot,5814,Espanyol,Getafe,2,0,2014-09-25 19:00:00,,Goal
34109,87,MissedShots,1.0396000175476072,0.46471999435424804,0.097106896340847,Cristhian Stuani,h,1709,OpenPlay,2014,LeftFoot,5762,Espanyol,Real Sociedad,2,0,2014-10-05 18:00:00,Lucas Vázquez,Pass
34111,91,Goal,1.0763999824523924,0.35076001129150386,0.4953440129756927,Cristhian Stuani,h,1709,OpenPlay,2014,RightFoot,5762,Espanyol,Real Sociedad,2,0,2014-10-05 18:00:00,Paco Montañés,Cross
33681,72,MissedShots,1.0384500350952148,0.33891999435424797,0.1750649958848953,Cristhian Stuani,a,1709,SetPiece,2014,Head,5723,Elche,Espanyol,2,1,2014-11-02 20:00:00,Joan Jordán,Cross
33685,78,SavedShot,1.0051000175476072,0.40330000000000005,0.0550738014280796,Cristhian Stuani,a,1709,SetPiece,2014,Head,5723,Elche,Espanyol,2,1,2014-11-02 20:00:00,Joan Jordán,Cross
33687,85,Goal,1.01775,0.37,0.7432780265808105,Cristhian Stuani,a,1709,Penalty,2014,RightFoot,5723,Elche,Espanyol,2,1,2014-11-02 20:00:00,,Standard
35222,62,MissedShots,0.9648500175476074,0.40551999435424807,0.0631662011146545,Cristhian Stuani,a,1709,OpenPlay,2014,RightFoot,5735,Athletic Club,Espanyol,3,1,2014-11-21 19:45:00,Felipe Caicedo,Dispossessed
34980,89,Goal,1.0924999999999998,0.41661999435424807,0.0973196029663086,Cristhian Stuani,h,1709,OpenPlay,2014,LeftFoot,5702,Espanyol,Granada,2,1,2014-12-14 11:00:00,Lucas Vázquez,Cross
38408,48,MissedShots,1.035,0.3811,0.0918643027544021,Cristhian Stuani,h,1709,OpenPlay,2014,RightFoot,5666,Espanyol,Celta Vigo,1,0,2015-01-17 21:00:00,Sergio García,Cross
38412,63,MissedShots,1.0188999824523925,0.38480000000000003,0.0617416985332965,Cristhian Stuani,h,1709,SetPiece,2014,Head,5666,Espanyol,Celta Vigo,1,0,2015-01-17 21:00:00,Salva Sevilla,Chipped
38549,14,ShotOnPost,1.049950035095215,0.3448399887084961,0.1254370063543319,Cristhian Stuani,h,1709,OpenPlay,2014,Head,5679,Espanyol,Almeria,3,0,2015-01-25 18:00:00,Salva Sevilla,Cross
38556,34,MissedShots,1.0717999649047854,0.36481999435424806,0.1270470023155212,Cristhian Stuani,h,1709,FromCorner,2014,Head,5679,Espanyol,Almeria,3,0,2015-01-25 18:00:00,Sergio García,Cross
38558,36,Goal,1.0890499649047851,0.3892399887084961,0.5349050164222717,Cristhian Stuani,h,1709,OpenPlay,2014,Head,5679,Espanyol,Almeria,3,0,2015-01-25 18:00:00,Sergio García,Aerial
