id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
33925,84,BlockedShot,1.1143500175476075,0.4595399887084961,0.09528049826622,Iago Aspas,h,2290,OpenPlay,2014,LeftFoot,5811,Sevilla,Real Sociedad,1,0,2014-09-24 21:00:00,,None
33929,90,SavedShot,0.8578999824523925,0.31301999435424804,0.0297426003962755,Iago Aspas,h,2290,OpenPlay,2014,LeftFoot,5811,Sevilla,Real Sociedad,1,0,2014-09-24 21:00:00,,Dispossessed
34242,90,SavedShot,0.9694500350952148,0.5113399887084961,0.1332709938287735,Iago Aspas,h,2290,OpenPlay,2014,LeftFoot,5760,Sevilla,Deportivo La Coruna,4,1,2014-10-05 11:00:00,Denis Suárez,Throughball
38210,84,MissedShots,1.0051000175476072,0.4484399887084961,0.1112430021166801,Iago Aspas,h,2290,OpenPlay,2014,LeftFoot,5671,Sevilla,Malaga,2,0,2015-01-18 20:00:00,,None
37614,3,SavedShot,0.9901499824523925,0.3145,0.0276124998927116,Iago Aspas,h,2290,OpenPlay,2014,Head,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Éver Banega,Cross
37615,6,BlockedShot,1.0902000350952146,0.3455800056457519,0.111745998263359,Iago Aspas,h,2290,OpenPlay,2014,Head,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Vicente Iborra,Aerial
37620,19,SavedShot,1.0568500175476074,0.3996,0.1084749996662139,Iago Aspas,h,2290,OpenPlay,2014,Head,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Éver Banega,Cross
37622,22,MissedShots,1.0361499824523923,0.3603800056457519,0.0476949997246265,Iago Aspas,h,2290,FromCorner,2014,Head,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,,None
37626,39,BlockedShot,0.8498500175476074,0.36851999435424804,0.2801620066165924,Iago Aspas,h,2290,OpenPlay,2014,LeftFoot,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Éver Banega,Chipped
37632,65,ShotOnPost,1.112049964904785,0.40921999435424805,0.5837050080299377,Iago Aspas,h,2290,OpenPlay,2014,LeftFoot,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Aleix Vidal,Cross
37633,67,MissedShots,1.0108500175476074,0.375180005645752,0.0633270964026451,Iago Aspas,h,2290,SetPiece,2014,Head,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Éver Banega,Cross
37639,88,Goal,1.0154500350952147,0.45139999999999997,0.366360992193222,Iago Aspas,h,2290,OpenPlay,2014,LeftFoot,5604,Sevilla,Espanyol,3,2,2015-02-01 18:00:00,Carlos Bacca,Throughball
37762,79,Goal,1.1074500350952146,0.40256001129150387,0.6241390109062195,Iago Aspas,a,2290,OpenPlay,2014,LeftFoot,5607,Real Madrid,Sevilla,2,1,2015-02-04 19:45:00,Vitolo,Pass
41143,33,BlockedShot,0.9752000350952148,0.195359997177124,0.0271124001592397,Iago Aspas,a,2290,OpenPlay,2014,LeftFoot,5614,Getafe,Sevilla,2,1,2015-02-08 16:00:00,Coke,BallRecovery
36198,13,SavedShot,0.8521499824523926,0.4114399887084961,0.0259124003350734,Iago Aspas,a,2290,OpenPlay,2014,LeftFoot,5483,Celta Vigo,Sevilla,1,1,2015-05-10 20:00:00,Diogo Figueiras,Pass
83973,12,MissedShots,0.8877999649047851,0.22718000564575191,0.0231761001050472,Iago Aspas,a,2290,OpenPlay,2015,LeftFoot,1406,Levante,Celta Vigo,1,2,2015-08-24 00:00:00,Fabián Orellana,Pass
83992,76,Goal,1.1258500175476076,0.3781399887084961,0.952072024345398,Iago Aspas,a,2290,OpenPlay,2015,RightFoot,1406,Levante,Celta Vigo,1,2,2015-08-24 00:00:00,Fabián Orellana,Pass
83994,90,ShotOnPost,0.8797499999999999,0.42771999435424807,0.034249298274517,Iago Aspas,a,2290,OpenPlay,2015,LeftFoot,1406,Levante,Celta Vigo,1,2,2015-08-24 00:00:00,Nolito,Pass
84221,21,SavedShot,0.9774999999999999,0.45436001129150394,0.0821171030402183,Iago Aspas,h,2290,OpenPlay,2015,LeftFoot,1412,Celta Vigo,Rayo Vallecano,3,0,2015-08-30 00:00:00,Nolito,BallTouch
84222,30,MissedShots,1.13275,0.3115399887084961,0.0836051031947135,Iago Aspas,h,2290,FromCorner,2015,Head,1412,Celta Vigo,Rayo Vallecano,3,0,2015-08-30 00:00:00,Nolito,Cross
84223,41,SavedShot,0.979799964904785,0.39071999435424803,0.3513630032539367,Iago Aspas,h,2290,OpenPlay,2015,LeftFoot,1412,Celta Vigo,Rayo Vallecano,3,0,2015-08-30 00:00:00,Nolito,Pass
84224,45,BlockedShot,1.008549964904785,0.2183,0.0400550998747348,Iago Aspas,h,2290,OpenPlay,2015,LeftFoot,1412,Celta Vigo,Rayo Vallecano,3,0,2015-08-30 00:00:00,Nolito,Pass
84472,49,MissedShots,0.98325,0.32116001129150384,0.0850095003843307,Iago Aspas,h,2290,OpenPlay,2015,LeftFoot,1426,Celta Vigo,Las Palmas,3,3,2015-09-13 20:15:00,,None
84479,70,SavedShot,1.0154500350952147,0.4395600112915039,0.1100580021739006,Iago Aspas,h,2290,OpenPlay,2015,LeftFoot,1426,Celta Vigo,Las Palmas,3,3,2015-09-13 20:15:00,Nolito,Pass
84481,75,SavedShot,0.9843999824523926,0.242719994354248,0.0499722994863987,Iago Aspas,h,2290,OpenPlay,2015,LeftFoot,1426,Celta Vigo,Las Palmas,3,3,2015-09-13 20:15:00,Nolito,Pass
84482,79,SavedShot,0.9867000350952148,0.42698000564575195,0.3208169937133789,Iago Aspas,h,2290,OpenPlay,2015,LeftFoot,1426,Celta Vigo,Las Palmas,3,3,2015-09-13 20:15:00,John Guidetti,Pass
85278,34,MissedShots,1.0361499824523923,0.2923,0.0138309001922607,Iago Aspas,a,2290,OpenPlay,2015,Head,1434,Sevilla,Celta Vigo,1,2,2015-09-20 14:00:00,Nolito,Aerial
