id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
32535,18,SavedShot,0.9717499999999999,0.3692600112915039,0.0665950030088424,Cristiano Ronaldo,h,2371,SetPiece,2014,RightFoot,5834,Real Madrid,Cordoba,2,0,2014-08-25 19:00:00,Luka Modric,Pass
32551,85,BlockedShot,0.8832000350952148,0.4625,0.0309091005474329,Cristiano Ronaldo,h,2371,OpenPlay,2014,LeftFoot,5834,Real Madrid,Cordoba,2,0,2014-08-25 19:00:00,Toni Kroos,Pass
32552,89,Goal,0.8142000350952148,0.4972799774169922,0.022334299981594,Cristiano Ronaldo,h,2371,OpenPlay,2014,RightFoot,5834,Real Madrid,Cordoba,2,0,2014-08-25 19:00:00,Isco,Pass
32912,13,MissedShots,0.9383999824523925,0.1813,0.020822899416089,Cristiano Ronaldo,h,2371,OpenPlay,2014,RightFoot,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,Toni Kroos,Pass
32917,25,Goal,1.01775,0.37,0.7432780265808105,Cristiano Ronaldo,h,2371,Penalty,2014,RightFoot,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,,Standard
32918,32,MissedShots,0.9292000350952148,0.21681999435424806,0.0811595022678375,Cristiano Ronaldo,h,2371,OpenPlay,2014,LeftFoot,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,Toni Kroos,TakeOn
32931,71,MissedShots,1.035,0.33891999435424797,0.042825598269701,Cristiano Ronaldo,h,2371,OpenPlay,2014,Head,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,Álvaro Arbeloa,Aerial
32937,82,BlockedShot,0.8659500350952147,0.21164000282287593,0.01047969982028,Cristiano Ronaldo,h,2371,OpenPlay,2014,LeftFoot,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,Toni Kroos,Chipped
33404,11,SavedShot,1.0533999824523923,0.42698000564575195,0.0458921007812023,Cristiano Ronaldo,a,2371,OpenPlay,2014,Head,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,Gareth Bale,Aerial
33408,19,MissedShots,0.91425,0.20794000282287592,0.0360845997929573,Cristiano Ronaldo,a,2371,OpenPlay,2014,RightFoot,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,Luka Modric,Pass
33410,27,SavedShot,0.801549964904785,0.25678000564575193,0.0184941999614238,Cristiano Ronaldo,a,2371,OpenPlay,2014,RightFoot,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,Luka Modric,Pass
33411,28,Goal,1.0108500175476074,0.37148000564575195,0.0308449007570743,Cristiano Ronaldo,a,2371,OpenPlay,2014,Head,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,Álvaro Arbeloa,Aerial
33416,40,Goal,0.8567499999999999,0.35076001129150386,0.4613569974899292,Cristiano Ronaldo,a,2371,OpenPlay,2014,LeftFoot,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,Karim Benzema,TakeOn
33424,65,BlockedShot,0.8257000350952147,0.3951600112915039,0.0514746010303497,Cristiano Ronaldo,a,2371,DirectFreekick,2014,RightFoot,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,,Standard
