id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
32704,1,MissedShots,0.9234500350952148,0.5335399887084961,0.0181719008833169,Antoine Griezmann,h,2270,OpenPlay,2014,LeftFoot,5840,Atletico Madrid,Eibar,2,1,2014-08-30 20:00:00,,None
32708,28,MissedShots,0.8521499824523926,0.3663,0.024507600814104,Antoine Griezmann,h,2270,OpenPlay,2014,LeftFoot,5840,Atletico Madrid,Eibar,2,1,2014-08-30 20:00:00,,BallRecovery
32940,89,MissedShots,1.1074500350952146,0.49283998870849605,0.2174409925937652,Antoine Griezmann,a,2270,OpenPlay,2014,LeftFoot,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,Moyá,Pass
33339,19,MissedShots,1.0626000175476074,0.22348000564575193,0.0568466000258922,Antoine Griezmann,h,2270,OpenPlay,2014,RightFoot,5799,Atletico Madrid,Celta Vigo,2,2,2014-09-20 19:00:00,Arda Turan,Pass
33340,22,SavedShot,1.0971000175476076,0.3048800056457519,0.1003940030932426,Antoine Griezmann,h,2270,OpenPlay,2014,Head,5799,Atletico Madrid,Celta Vigo,2,2,2014-09-20 19:00:00,Juanfran,Cross
33347,62,SavedShot,0.9073500175476074,0.23088000564575192,0.0233449004590511,Antoine Griezmann,h,2270,OpenPlay,2014,LeftFoot,5799,Atletico Madrid,Celta Vigo,2,2,2014-09-20 19:00:00,Koke,Pass
33971,5,MissedShots,1.0533999824523923,0.3692600112915039,0.063620701432228,Antoine Griezmann,a,2270,OpenPlay,2014,Head,5810,Almeria,Atletico Madrid,0,1,2014-09-24 19:00:00,Mario Suárez,Aerial
33978,31,MissedShots,1.0303999824523924,0.3566800056457519,0.0454960018396377,Antoine Griezmann,a,2270,OpenPlay,2014,Head,5810,Almeria,Atletico Madrid,0,1,2014-09-24 19:00:00,Guilherme Siqueira,Aerial
33156,69,MissedShots,1.1143500175476075,0.35446001129150384,0.7456480264663696,Antoine Griezmann,h,2270,OpenPlay,2014,OtherBodyPart,5819,Atletico Madrid,Sevilla,4,0,2014-09-27 19:00:00,Raúl García,Cross
34159,6,SavedShot,0.9659999999999999,0.183519994354248,0.0220171008259058,Antoine Griezmann,a,2270,OpenPlay,2014,LeftFoot,5755,Valencia,Atletico Madrid,3,1,2014-10-04 15:00:00,Miranda,None
